title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
Parcel Of Land,land,"eleranigbe, ibeju lekki, lagos",32200000.0,mid,,,,,2026-01-24,NaT,Lagos
50 Units Of Detached Bungalows,bungalow,"eleko, ibeju lekki, lagos",75000000.0,high,3.0,3.0,25000000.0,,2026-01-10,NaT,Lagos
"Recent Updates : 1,234sqm Highly Commercial Plot Of:",land,"hassan bus stop, isefun road, ayobo, lagos",130000000.0,high,,,,,2026-01-24,NaT,Lagos
"Off Plan, Elegant 1 Bedroom Flat With Bq, Concierge, Pool And Gym",flat/apartment,"ahmadu bello way, victoria island (vi), lagos",195000000.0,high,1.0,1.0,195000000.0,2025-04-06,2025-12-27,2025-04,Lagos
4 Bedroom Semi Detached Duplex With A Bq,semi detached duplex,"orchid road, lekki, lagos",9000000.0,low,4.0,4.0,2250000.0,,2026-01-24,NaT,Lagos
Fully Serviced 1 Bedroom Duplex,house,"buena vista estate, off orchid road, lekki, lagos",47000000.0,mid,1.0,1.0,47000000.0,2025-02-08,2026-01-16,2025-02,Lagos
Standard Miniflat,flat/apartment,"orchid road lekki lagos, lekki, lagos",2600000.0,low,1.0,1.0,2600000.0,,2026-01-24,NaT,Lagos
"4 Bedroom Maisonette Apartment With Pool, Gym,kids Area",flat/apartment,"4 bedroom maisonette apartment with pool, gym,kids area, ikate, lekki, lagos",280000000.0,high,4.0,4.0,70000000.0,,2026-01-24,NaT,Lagos
"Aesthetically Pleasing 2 Bedroom Apartment With Pool, Gym And Elevator",flat/apartment,"aesthetically pleasing 2 bedroom apartment with pool, gym and elevator, ikate, lekki, lagos",170000000.0,high,2.0,2.0,85000000.0,,2026-01-24,NaT,Lagos
Plot Of Land,land,"chois garden estate, abijo, lekki, lagos",49080000.0,mid,,,,2025-12-11,2026-01-24,2025-12,Lagos
Ninety Eight Plots Of Land In A Secured And Serene Estate,land,"abijo lekki lagos, abijo, lekki, lagos",30000000.0,mid,,,,,2026-01-24,NaT,Lagos
"Best Value 5 Bedroom Detached Duplex With Swimming Pool, Rooftop",detached duplex,"chevron, lekki phase 2, lekki, lagos",520000000.0,high,5.0,5.0,104000000.0,,2026-01-24,NaT,Lagos
Best Value  4 Bedroom Semi Detached Duplex On 2 Floors+ Swimming Pool,semi detached duplex,"best value  4 bedroom semi detached duplex on 2 floors+ pool orchid, lekki phase 2, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-24,NaT,Lagos
Fully Detached Duplex,fully detached,"off admiralty way, lekki phase 1, lekki, lagos",800000000.0,high,4.0,,200000000.0,2026-05-01,2026-01-24,2026-05,Lagos
"Relatively New, Fully Serviced 4 Bedroom In A Serene Environment",flat/apartment,"parkview, ikoyi, lagos",1095000000.0,high,4.0,4.0,273750000.0,2026-01-01,2026-01-18,2026-01,Lagos
A Solid 4 Flat Of 3 Bedroom Each On Full Plot Of Land,land,"off college road, ogba, ikeja, lagos",200000000.0,high,,,,2026-07-01,2026-01-24,2026-07,Lagos
4 Nos Of 3 Bedroom Flat On 689sqm,land,"alausa, ikeja, lagos",550000000.0,high,3.0,,183333333.3,2026-07-01,2026-01-24,2026-07,Lagos
Luxury 3 Bedroom Bungalow,bungalow,"idea scheme, ibeju lekki, lagos",75000000.0,high,3.0,3.0,25000000.0,,2026-01-24,NaT,Lagos
5bedroom Fully Detached Duplex,fully detached,"ologolo, ibeju lekki, lagos",250000000.0,high,5.0,5.0,50000000.0,,2026-01-24,NaT,Lagos
Newly Built 4 Bedroom Bungalow,bungalow,"igando, ibeju lekki, lagos",80000000.0,high,4.0,4.0,20000000.0,,2026-01-17,NaT,Lagos
Luxurious 4 Bedroom Self Compound Terraced Duplex With Bq,terraced duplex,"gbagada, gbagada, lagos",300000000.0,high,4.0,5.0,75000000.0,,2026-01-24,NaT,Lagos
Exquisite 1 Bedroom Apartment,flat/apartment,"bera estate, lekki, lagos",65000000.0,high,1.0,1.0,65000000.0,,2025-12-18,NaT,Lagos
Lovely 5 Bedroom Detached Duplex With Bq,detached duplex,"chevron, lekki, lagos",350000000.0,high,5.0,5.0,70000000.0,,2026-01-24,NaT,Lagos
Lovely 4 Bedroom Terrace Duplex With Bq,house,"orchid, lekki, lagos",160000000.0,high,4.0,4.0,40000000.0,,2026-01-24,NaT,Lagos
Stunning 5 Bedroom Detached Duplex With Bq,detached duplex,"ikota, ikota, lekki, lagos",650000000.0,high,5.0,5.0,130000000.0,,2026-01-24,NaT,Lagos
Lovely 5 Bedroom Detached Duplex With Bq,detached duplex,"ikota, ikota, lekki, lagos",250000000.0,high,5.0,5.0,50000000.0,,2026-01-24,NaT,Lagos
Luxury 2-bedroom Apartment Suitable For/airbnb,flat/apartment,"luxury 2-bedroom apartment suitable for shortlet/airbnb, ologolo, lekki, lagos",150000000.0,high,2.0,2.0,75000000.0,,2026-01-24,NaT,Lagos
Lovely 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"ologolo, ologolo, lekki, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
Very Spacious 5 Bedroom Semi Detached Duplex With Outdoor  Pool,semi detached duplex,"very spacious 5 bedroom semi detached duplex with outdoor  pool, osapa, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-24,NaT,Lagos
"Standard 5 Bedroom Detached Duplex With Swimming Pool, Rooftop Terrace",detached duplex,"call to access estate in chevron, lekki phase 2, lekki, lagos",600000000.0,high,5.0,5.0,120000000.0,,2026-01-24,NaT,Lagos
Newly Built 5 Bedroom Luxury Detached Duplex With A Swimming Pool,detached duplex,"lekki conservation, chevron toll gate, lekki phase 2, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-24,NaT,Lagos
Newly Built 4 Bedroom Fully Detached Duplex With Bq,fully detached,"4bedroom in a secured estate available on mortgage payment at orchid, lekki phase 2, lekki, lagos",230000000.0,high,4.0,4.0,57500000.0,,2026-01-24,NaT,Lagos
Exquisitely Detailed 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",520000000.0,high,5.0,5.0,104000000.0,,2026-01-24,NaT,Lagos
Aesthetically Pleasing 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",480000000.0,high,5.0,5.0,96000000.0,,2026-01-24,NaT,Lagos
"Investment Worthy 2 Bedroom Apartment  With Bq, Swimming Pool",flat/apartment,"investment worthy 2 bedroom apartment  with bq, swimming pool, lekki phase 1, lekki, lagos",250000000.0,high,2.0,2.0,125000000.0,,2026-01-24,NaT,Lagos
"Very Spacious 2 Bedroom Apartment  With Bq, Swimming Pool, Elevator,",flat/apartment,"very spacious 2 bedroom apartment  with bq, swimming pool, elevator, lekki phase 1, lekki, lagos",240000000.0,high,2.0,2.0,120000000.0,,2026-01-24,NaT,Lagos
"Very Spacious 3 Bedroom Terrace Duplex + Bq With Swimming Pool,kids",house,"2 minutes walk from the coastal road, ajah, lagos",160000000.0,high,3.0,3.0,53333333.33,,2026-01-24,NaT,Lagos
Luxurious 3bedroom,flat/apartment,"thera peace, sangotedo, ajah, lagos",80000000.0,high,3.0,3.0,26666666.67,,2026-01-24,NaT,Lagos
